sample_id,reference_en,greedy_output,beam_output,delta_chrf
28,designers recognize this type of collaboration as the essence of the iterative process.,so they know that kind of hard to be able to make these kinds of activity.,so they know this kind of hard to be able to discover this kind of activity.,1.0816917395935626
29,"and with each version, kids get instant feedback about what works and what doesn't work.","and what they did was doing is, and what they didn't work about them.","and what they did is, and what they didn't work.",-5.013244334409297
30,"so the capacity to play in prototype is really essential, but let's look at how different teams perform.","so the difference is, but the difference is the difference in the model of the model of the model.","so the difference is, but the difference in the model works on the model.",0.6316210042945727
31,"so the average for most people is around 20 inches; business schools students, about half of that; lawyers, a little better, but not much better than that, kindergarteners, better than most adults.","so most of the best students, most of the best students, most of the best students are the best students, but most of the best students, most of the best talented, most of the best talented, most people are better than that's.","so most of the best students, most of the best students, most of the best students, most of the best students, most of the best students are the best students, but most of the best talents, most of the best talents, most of the best talents.",-9.057719436675612
32,who does the very best?,is the best part of the best?,is the best part of the best?,0.0
33,"architects and engineers, thankfully.","they're like, ""theon!""","the engineers, they're walking around.",29.750703250654396
34,thirty-nine inches is the tallest structure i've seen.,i saw the longest-old son.,i saw the largest camera that i saw.,1.222417137095503
35,and why is it? because they understand triangles and self-reinforcing geometrical patterns are the key to building stable structures.,and why is the building that we build the building that we build the building that we are the building.,"and why is the building that we build this structure of india, and why is the structure of india?",5.41382520138551
36,"so ceos, a little bit better than average, but here's where it gets interesting.","so, the good thing here is, but the best example of the best thing.","so, the good thing here is, but they're going to be a little bit better than the best.",21.68730295287064
37,"if you put you put an executive admin. on the team, they get significantly better.","if you put them on the team, you're going to get a completely different measure the website.","if you put them on the team, you're going to get a completely different place.",-0.5228223888650234
38,"it's incredible. you know, you look around, you go, ""oh, that team's going to win.""","you know, it's amazing, you know, you know, you know, you know, you know, it's amazing, you know, you know, you know, you know, it's amazing.","you know, it's amazing, you know, you know, you know, you know, you know, it's amazing, you know, you know, you know, you know, it's amazing.",0.0
39,you can just tell beforehand. and why is that?,we can say that's happening. right?,we couldn't say that's happening.,-1.3433440593903612
40,because they have special skills of facilitation.,they have a special battlefield skills.,because they have a special battlefield skills.,14.969136739977344
41,"they manage the process, they understand the process.","they're doing it, they're wrong.","they're thinking, they're doing it.",0.9681575591921714
42,and any team who manages and pays close attention to work will significantly improve the team's performance.,and he's going to work to work with a team of work and he's going to work with a team.,"and he's going to work with a team of working on work, and he's going to work with a team.",0.39122520841022634
43,specialized skills and facilitation skills are the combination that leads to strong success.,"the skills, the skills that are the skills that are the skills that are the skills, and the skills that are the skills that are the skills.","the skills is the skills, the skills of the skills, the skills, the skills of the skills, the skills, the skills that the skills, the skills of the skills that are the skills that are the skills of the skills.",-3.053420124347369
44,"if you have 10 teams that typically perform, you'll get maybe six or so that have standing structures.","if you have 10 or you're going to have a 10-year-old, you're going to get a drug, you're going to get a drug.",if you have 10 or you're going to have 10 or maybe you're going to do something like this.,2.354517157550845
45,and i tried something interesting.,and i tried something like a little bit.,and i tried something that i tried to be something.,2.855051499817229
46,"i thought, let's up the ante, once.","i thought, i'd say, ""how do not do it.","i thought, i didn't do a different way.",-0.4367803283332421
47,"so i offered a 10,000 dollar prize of software to the winning team.",so i took 10 dollars a prize winner of the new software.,so it's a prize winner of a prize winner.,-19.734654768500054
48,so what do you think happened to these design students?,so what happened to the students?,so what's happened? so what happened?,-26.217699553600863
49,what was the result?,what was the result?,what was the result?,0.0
50,here's what happened: not one team had a standing structure.,so what happened is that's exactly what happened in one of the equation.,here's what happened in one of the project.,9.235384185392363
51,"if anyone had built, say, a one inch structure, they would have taken home the prize.","if anybody, one guy, one guy, it's a single egg, it's a single egg.","if anybody, it's one guy, it's one guy, it's one guy.",-1.3127548147732089
52,"so, isn't that interesting? that high stakes have a strong impact.","so, it's a powerful force, right.","so, it's a powerful effect.",-1.1442749905752017
53,we did the exercise again with the same students.,we did the same students with the same students.,we've done with the same students.,-9.974887625642879
54,what do you think happened then?,what happened when the uni?,what happened? what happened?,-4.168256343247755
55,so now they understand the value of prototyping.,so now they're trying to understand the first paradigm.,so now they're trying to understand the first model.,0.7473560363894123
56,so the same team went from being the very worst to being among the very best.,so the difference of the difference are better than the best.,so the difference of the difference are better than the best.,0.0
57,they produced the tallest structures in the least amount of time.,they've been looking at the time.,they've been looking at the time.,0.0
58,so there's deep lessons for us about the nature of incentives and success.,so there's a lot of incentives about the nature.,so there's a sense of the nature of the nature of the nature of the nature of the nature of the nature of the nature of the nature.,-25.2638324732916
59,"so, you might ask: why would anyone actually spend time writing a marshmallow challenge?","so, why would you ask a lot of time, why do you ask them?","so, why do you ask a lot of time, why do you ask them?",-5.909100396152473
60,"and the reason is, i help create digital tools and processes to help teams build cars and video games and visual effects.","and the reason why i'm involved in the world, and i'm involved in the world and help build a digital fabrication.",and the reason why i'm going to help build the difference in new york and help build a digital fabrication.,2.7461064981861973
61,and what the marshmallow challenge does is it helps them identify the hidden assumptions.,"and what we're interested in the national security, and what we're doing is that they're doing is the value of the value of the value of the value of the value of the value of the value of the value of the value of the value of the value of the value of the value of the value of the value of the value of the value.",and what we're doing is that they're going to help protect them to help protect their own success.,6.245053590806293
62,"because, frankly, every project has its own marshmallow, doesn't it?","because it's a whole project, it's a day, because it's a day.","because, it's a short time, because it's all of it's a day.",-2.2906625976880406
63,"the challenge provides a shared experience, a common language, a common stance to build the right prototype.","the challenge, the challenge is not going to be a language, the right thing.","the challenge, the challenge is not going to make a language of the right thing.",-1.0297632740491593
64,"and so, this is the value of the experience, of this so simple exercise.","so this experiment is the value of this experiment, this experiment.","and so, this is the value of the value of the value of this experiment.",13.443133534770269
65,and those of you who are interested may want to go to marshmallowchallenge.com.,"i'm going to show you some of you, and i'm going to go to visit the ""theist.""","i'm going to show you some of you, and i don't want you to visit them.",-0.974263527440268
66,it's a blog that you can look at how to build the marshmallows.,you can look at the u.s.s.s.s.,you can see how it works.,-11.355215186746745
67,there's step-by-step instructions on this.,and there's a step of two steps.,and there's a step of a step.,-1.4475733818905212
68,there are crazy examples from around the world of how people tweak and adjust the system.,and there's a crazy system that people are doing the world.,and there's a crazy system that's a crazy system.,-12.889600039078378
69,there's world records that are on this as well.,there's also a world of the world.,there's a world that's a world.,2.268558008021781
70,"and the fundamental lesson, i believe, is that design truly is a contact sport.","and the fact, i think the fact is the fact that science is the science is a mathematician physics.","i think, is a mathematician physics, is a mathematician physics.",-9.180776401884497
71,"it demands that we bring all of our senses to the task, and that we apply the very best of our thinking, our feeling and our doing to the challenge that we have at hand.","and if we have a better endeavor that we have a better endeavor, we have a better endeavor, we have to do, and we have a better understand our own choices.","and if we have the challenge we have a better endeavor that we have a better endeavor, we have a better endeavor, and we have a better endeavor.",2.270386307868563
72,"and sometimes, a little prototype of this experience is all that it takes to turn us from an ""uh-oh"" moment to a ""ta-da"" moment.","sometimes, sometimes, ""what's a little bit of the first thing to me, or ""i'm going to be a little bit of this is a little bit of this experiment.""","and sometimes it's a little bit of this experiment, and sometimes it's a little bit, ""i'm going to be a little bit of the first thing.""",0.221863575731021
73,and that can make a big difference.,so we can change the results.,so we can change a big change.,5.139805555558972
74,thank you very much.,thank you very much.,thank you very much.,0.0
75,let's pretend right here we have a machine.,"let's show you a little bit, there's a little bit of the party.","let's see here, let's go there.",2.5518460944525536
76,"a big machine, a cool, ted-ish machine, and it's a time machine.","and it's a big machine, and it's a big machine.","it's a big machine, and it's a big machine.",-0.36781323400697374
77,and everyone in this room has to get into it.,and all of these are inside of them inside of them inside.,"and all of them, it's inside them inside.",-0.6879076699701514
78,"and you can go backwards, you can go forwards; you cannot stay where you are.","you can't get to control, where you can't get to go to the future.","and if you can't go to the future, you can't get your future.",-2.8632735387223107
79,"and i wonder what you'd choose, because i've been asking my friends this question a lot lately and they all want to go back.","and if i asked me, i asked them to the last question, i asked them to the last question, i asked them, and i asked them to the last question.","and if i asked my friends, i asked me, i asked them, i asked them, i asked them, i asked them to the question.",2.871517520060266
80,"i don't know. they want to go back before there were automobiles or twitter or ""american idol.""",i don't know they're not going to be a week ago.,i don't know whether they're not going to twitter or twitter or twitter.,13.614667309519252
81,i don't know.,i don't know.,i don't know.,0.0
82,"i'm convinced that there's some sort of pull to nostalgia, to wishful thinking.","i'm a kind of days, there's a kind of days of a kind of a kind of a kind of a kind of a kind of a kind of a kind of a kind of a kind of a kind of a kind of a kind of a kind of a kind of a kind of a kind of a kind of a kind of a kind of a kind of a kind of a","i'm a kind of days, there's a kind of days, and i'm a kind of a kind of dubai.",4.575040059755837
83,and i understand that.,and i understand that.,and i understand that.,0.0
84,"i'm not part of that crowd, i have to say.","i'm not part of the group of the group, i'm not going to say.","i'm not part of the group, i'm not going to say.",2.5534644667653907
85,"i don't want to go back, and it's not because i'm adventurous.",i don't want to be happy -- i don't want to be happy.,i don't want to be happy -- i don't want to be happy.,0.0
86,"it's because possibilities on this planet, they don't go back, they go forward.","they're not going to go to the future, because of the planet, they're not going to the future.","they're not going to go to the future, because they're not going to the future.",-9.067263063522223
87,"so i want to get in the machine, and i want to go forward.","so i want to go back to the future, and i want to go to go.","so if i want to go back to the future, i want to go back.",-12.639265344484237
88,"this is the greatest time there's ever been on this planet by any measure that you wish to choose: health, wealth, mobility, opportunity, declining rates of disease ...","and the greatest advantage of the planet, this planet, the planet, the greatest risk of the planet, the greatest risk of the planet, the planet, the planet, the greatest risk of the planet.","pm: this is the greatest risk of the planet, and the planet, the greatest risk of this planet, the planet, and the greatest risk of the planet.",4.580767899954221
89,there's never been a time like this.,there was no time ago.,there was no time ago.,0.0
90,"my great-grandparents died, all of them, by the time they were 60.","when they were in the front of the monkeys, they were in the monkeys, they were sleeping.","when they were young, they were young, they were young.",-4.706560638648966
91,my grandparents pushed that number to 70.,they took the number two years to this.,they went to this number two years.,1.9532638077978355
92,my parents are closing in on 80.,they took two boat two boat two boat.,they took the boat two boat two boat two boat.,0.3440245580607595
93,so there better be a nine at the beginning of my death number.,so there's a short number of days in the early stages.,"so, there's a short number of days.",-7.281272821802567
94,"but it's not even about people like us, because this is a bigger deal than that.",but it's not a lot of people like that.,but it's not a lot of people like that.,0.0
95,a kid born in new delhi today can expect to live as long as the richest man in the world did 100 years ago.,in the world war ii has been killed in new york times a child in new york times a living in new york times.,in the world war ii has been killed in new york times a child in new york times.,-1.1891737107837983
96,"think about that, it's an incredible fact.",think about it's amazing. it's amazing.,think about it. it's amazing.,1.4387961595988088
97,and why is it true?,why is this real real real?,why is this real real?,1.261758008352185
98,smallpox. smallpox killed billions of people on this planet.,the planet of the planet is probably billions of people on the planet.,"on the planet, the planet on the planet. this planet.",-22.616544411268887
99,it reshaped the demography of the globe in a way that no war ever has.,it's not a war to do the world war.,it can't do the world war. it can't do the war.,0.811800708608704
100,it's gone. it's vanished.,it's been taken.,it's changed.,3.8559955798448904
101,we vanquished it. puff.,we are acting.,we are acting.,0.0
102,"in the rich world, diseases that threatened millions of us just a generation ago no longer exist, hardly.","now, the majority of us have been a global human diseases, the world.","now, in the world, it's not about 75 million years ago.",-2.052879159473651
103,"diphtheria, rubella, polio ...","children, baby, baby, baby, baby, baby.","babies, children's like kids.",2.3102091786951684
104,does anyone even know what those things are?,is anybody who knows that?,is anybody who knows that's one of you know?,2.6603013564585254
105,"vaccines, modern medicine, our ability to feed billions of people, those are triumphs of the scientific method.","we are able to deal with these types of individuals, we're dealing with our own biotechnology, and we're dealing with our own biotechnology.","we're talking about medicine, and we're dealing with these creatures.",-2.1597930467461595
106,"and to my mind, the scientific method -- trying stuff out, seeing if it works, changing it when it doesn't -- is one of the great accomplishments of humanity.","and in the way, if it works, it's the most important to see if it works, it works, it works, it works, it works, it works, it works, it works.","and in fact, if it's one of the most important thing, it works, it's the most important to see if it works.",6.450724348178024
107,so that's the good news.,so the good news is your news.,so the good news is the good news.,6.15463032076412
108,"unfortunately, that's all the good news because there are some other problems, and they've been mentioned many times.","luckily, there's some other problems, because there are some of the news.","luckily, there's a few times, because there's a few times, there's a lot of problems.",-12.072129795118464
109,"and one of them is that despite all our accomplishments, a billion people go to bed hungry in this world every day.","and the world is that every day, all of them, all the world, all the world, all of them, all of them, all the world.","and the world is that every day, every day, every day, every day, every day, every day, every day, every day, every day, all the world.",-6.166379498124506
110,"that number's rising, and it's rising really rapidly, and it's disgraceful.","and that's very quickly, very quickly, very quickly.","and that's very quickly, very quickly, very quickly.",0.0
111,"and not only that, we've used our imagination to thoroughly trash this globe.","we've been designed to build this world, not just the world.","it's not just the world, it's not just the hope.",-5.883589673935624
112,"potable water, arable land, rainforests, oil, gas: they're going away, and they're going away soon, and unless we innovate our way out of this mess, we're going away too.","we'll go back to the ice shelter, and what we're going to the water, and we're going to go, and we're going to go, and we're going to the water, and we're going to go back to the water, and we're going to the water.","and what we're going to do, we're going to launch, we're going to launch, we're going to go back, and we're going to cover the ice shelter, and we're going to go back.",-0.8690444149701655
113,so the question is: can we do that? and i think we can.,"so, i think we can do that?",so the question is we can we do that?,24.11963624050989
114,i think it's clear that we can make food that will feed billions of people without raping the land that they live on.,i think we can't be able to get people to be able to get a billion people to be able to get away from the future.,"i think we can't be able to get a billion people, and i think we can're not going to get people.",1.0526425762931524
115,i think we can power this world with energy that doesn't also destroy it.,i think we can't be the same time in the world.,i don't think we can't think we can't be the same time in the world.,1.0922666270821288
116,"i really do believe that, and, no, it ain't wishful thinking.","i believe that, i believe me.","i believe that, i believe me.",0.0
117,but here's the thing that keeps me up at night -- one of the things that keeps me up at night: we've never needed progress in science more than we need it right now. never.,"but one of the things that we're not going to be the scientific, the scientific thing that we're not going to be the scientific, the scientific thing that we're not going to be the scientificization that we're not going to be the scientific.","but one of the things that we didn't know that we't think about the scientific things that we're not going to be the scientific, the scientific thing that we've never been doing.",6.190270385749098
118,and we've also never been in a position to deploy it properly in the way that we can today.,and we can't afford to be able to do this.,and we didn't have a way that we can't afford to do this.,11.01784869819728
119,"we're on the verge of amazing, amazing events in many fields, and yet i actually think we'd have to go back hundreds, 300 years, before the enlightenment, to find a time when we battled progress, when we fought about these things more vigorously, on more fronts, than we do now.","when we tried to get a lot of things, i think we're going to get a lot more than three years ago, and we're going to get a lot more than we're going to get a hundred years ago, and we're going to get a lot more than we're going to get a hundred years ago, and we're going to get a lot more","now, when i think we're going to have a lot more than three hundred years ago, we're going to have a lot of these things that we're going to have a lot more than three years ago, and i think we're going to be able to be able to get a lot more than that we're going to have to have a lot more than we'",2.572030441724813
120,"people wrap themselves in their beliefs, and they do it so tightly that you can't set them free.","you can't even imagine that, they're not going to get them to pursue them to get them to do that.","you can't even imagine that, they can't get them to them to themselves.",5.866873047796183
121,not even the truth will set them free.,and they're going to be able to do it.,and they're not going to do it.,0.46815791283413155
122,"and, listen, everyone's entitled to their opinion; they're even entitled to their opinion about progress.","they've seen them, even one of them, they're going to be able to hear them.","they've seen them, and they've got to hear them, even one of them, even though they've got them.",-0.4966876729485996
123,but you know what you're not entitled to?,but you know what?,but you know what?,0.0
124,"you're not entitled to your own facts. sorry, you're not.","i'm not going to be honest, you're not going to be surprised.",i'm not sure you're not going to leave you. i'm not going to leave you.,0.8533014747679424
125,and this took me awhile to figure out.,and i took some of this time to me to take me.,and i took a few of this time.,-1.2776636546783209
126,"about a decade ago, i wrote a story about vaccines for the new yorker. a little story.","i wrote about 15 years ago, ""the long-year-old.","i wrote about 15 years ago, i wrote about 15 years ago, i wrote about 15 years ago.",8.133769782116563
127,"and i was amazed to find opposition: opposition to what is, after all, the most effective public health measure in human history.",and i was a committed to the greatest risk of the greatest risk of the greatest risk of the greatest risk of the greatest risk of the greatest risk of the human history.,"and i was amazed by the greatest risk of human history, and i was amazed by the greatest risk of human history.",5.055020388121445
128,"i didn't know what to do, so i just did what i do: i wrote a story and i moved on.","so i wrote what i did, i did. i did. i know what i did.","so i wrote what i did, and i did, i know what i did.",2.010285376433057
129,"and soon after that, i wrote a story about genetically engineered food.","and after that, i wrote a story, i wrote a story about food.","and after that, i wrote a story, i wrote a story.",-11.596560043620478
130,"same thing, only bigger.","just the same thing, just the same thing.",just the same thing with the same thing.,-4.4553567233132085
131,people were going crazy.,people are doing the same.,people do.,-8.382284287220763
132,"so i wrote a story about that too, and i couldn't understand why people thought this was ""frankenfoods,"" why they thought moving molecules around in a specific, rather than a haphazard way, was trespassing on nature's ground.","so i wrote a lot of people, ""well, why i'm going to understand why people are not going to be able to do that, why people are doing that, why they were able to do that, why they were unable to do that.","so i wrote a lot of people, ""well, why don't understand why it was a lot of the food,"" and it's a lot of people's not going to do it.",-4.676942208021266
133,"but, you know, i do what i do. i wrote the story, i moved on.","but i wrote what i wrote, i do, i write a job.","but i wrote what i do, i do, and i do.",5.026765844363261
134,"i mean, i'm a journalist.","i mean, i mean, i mean, i mean, i'm sorry.","i mean, i mean, i mean.",-6.992440724898156
135,"we type, we file, we go to dinner. it's fine.","we're doing everything, we're doing.","we're doing everything, we're doing.",0.0
136,"but these stories bothered me, and i couldn't figure out why, and eventually i did.","but why, i didn't understand why i understood it.","but why, i didn't understand why i't understand why i't understand why it.",0.3434547427440613
137,and that's because those fanatics that were driving me crazy weren't actually fanatics at all.,and that was actually the fact that i was not the truth of the truth.,and that's because of the fact that i didn't have the fact that was in the fact that i was in the truth.,8.47186339526456
138,"they were thoughtful people, educated people, decent people.","and the teachers were people, and people, and the teachers were very good.","teachers, people were very good, and teachers.",-12.980235301000306
139,they were exactly like the people in this room.,they were totally in this room like people who were totally.,they were just like this room like people in the room.,11.170533425762123
140,and it just disturbed me so much.,and it's very powerful.,and it's very frustrated me.,8.097422093395373
141,"but then i thought, you know, let's be honest.","but you know, let's say, ""i's be honest.","but you know, let's say, let's say, ""oh, let's be honest.",0.24148249949731593
142,we're at a point in this world where we don't have the same relationship to progress that we used to.,we have the same relationship where we have the same relationship in the world where we have the same relationship in the same relationship.,we have the same way that we have the same relationship in the world where we're not going on.,6.335516518860999
143,we talk about it ambivalently.,we're talking about it.,we're talking about it.,0.0
144,"we talk about it in ironic terms with little quotes around it: ""progress.""","we're talking about it, and we're talking about it.","we're talking with a little bit about it, and we're talking about it.",7.4246863874858136
145,"okay, there are reasons for that, and i think we know what those reasons are.","well, i think we know that's some reasons, there's some reasons.","well, there's some reasons, that's some reasons.",-14.597526030033269
146,"we've lost faith in institutions, in authority, and sometimes in science itself, and there's no reason we shouldn't have.","and i think we've been interested in some cases, there's no reason, and i think we've been a reason why we've been a reason we've been involved in science.","and i think we've been interested in some cases, there's no reason that we's no reason, there's no reason we's no evidence, and i think we've been a reason that we've done in science.",0.25693434966706974
147,you can just say a few names and people will understand.,and people remember that maybe we can just a few other names.,we can remember a couple of years ago.,-25.04995430671052
148,"chernobyl, bhopal, the challenger, vioxx, weapons of mass destruction, you know, you can choose your list.","i mean, of course, the great chocolate, the fate of course, the fate of the fate, the fate of the fate of the fate, the fate of the fate, the fate of the fate, the fate of the fate, the fate of the fate, the fate of the fate, the fate of the fate, the fate of the fate, of the fate, the fate of the","i mean, of course, you know, you know, you know, a nanopatches, of course, a nanopatches.",14.380480561653675
149,"there are questions and problems with the people we used to believe were always right, so be skeptical.",we've always been always been dealing with people who are always interested in the most important questions.,there's always a lot of people who are always interested in our country.,-9.200114151716946
150,"ask questions, demand proof, demand evidence.","ask questions, ask questions, ask questions.","ask questions, ask questions, ask questions.",0.0
151,don't take anything for granted.,"no, no, no.",they don't think anything.,34.890106108167735
152,"but here's the thing: when you get proof, you need to accept the proof, and we're not that good at doing that.","but when you get the idea here, you need to work on this idea, you need to work on this idea, and we don't need to work.","but when you're not working on this idea, you need to work on this idea, and we don't need to work.",-1.5830882187631197
153,and the reason that i can say that is because we're now in an epidemic of fear like one i've never seen and hope never to see again.,and the reason i'm not going to say that we're not going to see that the reason that we're not going to be a problem.,and the reason i'm going to say that we're not going to see the reason that we're not going to be a second problem.,1.2096648214722023
154,"about 12 years ago, there was a story published, a horrible story, that linked the epidemic of autism to the measles, mumps and rubella vaccine shot.","since 12 years ago, 12 years ago, about 12 years ago, the twinian influenza of the twinian influen, a 32 years ago, a 32 years ago, a 32 years ago, a 32 years ago, a 32 years ago.","since 12 years ago, 12 years ago, about 12 years ago, about 12 years ago, about 12 years ago, about 12 years ago.",-3.6865034321752006
155,very scary.,"it's very very, very important.",it's a very good thing.,-1.296497441479893
156,tons of studies were done to see if this was true.,so it was a real real real real thing.,so it's a real thing that if it's a real job.,0.5217365059147703
157,tons of studies should have been done; it's a serious issue.,pm: it was a real problem of a real problem.,pm: it's a real problem: it's a real problem.,2.8760556671868933
158,the data came back.,they were the data.,the data.,3.437083405622417
159,"the data came back from the united states, from england, from sweden, from canada, and it was all the same: no correlation, no connection, none at all.","the united kingdom, the united kingdom, the united kingdom, the united kingdom, the united kingdom, the united kingdom, the united kingdom, the united kingdom, the united kingdom of the united kingdom, the united kingdom, the united kingdom, the united kingdom of the united kingdom, the united kingdom, the united kingdom of the united kingdom, the united kingdom, the united kingdom, the united kingdom of","the united kingdom, the united kingdom, the united kingdom, the united kingdom of the united kingdom, the united kingdom, the united kingdom, the united kingdom of the united kingdom, the united kingdom of the united kingdom, the united kingdom, the united kingdom of the united kingdom of the united kingdom, the united kingdom of the united states.",4.3147872275165025
160,"it doesn't matter. it doesn't matter because we believe anecdotes, we believe what we see, what we think we see, what makes us feel real.","we don't see what we don't see, because we don't see what we don't see, we don't see what we't see, because we don't see what we't see, we't see what we't see, we't see, we't see what we't see, because we't see what we","we don't see what we don't see, because we don't see what we don't see, because we don't see what we don't see, we don't see what we don't think, we't see what we't see.",2.686610184135425
161,"we don't believe a bunch of documents from a government official giving us data, and i do understand that, i think we all do.","and i think we're all going to understand that, i think we're all going to understand that we're all going to understand that, and i think we're all the data.","and i think we all know that, i don't understand that we't understand that we're all know that we're all know that.",-1.87308684207526
162,but you know what?,"but you know, what?","but you know, what?",0.0
163,the result of that has been disastrous.,so the result was the result of the result of the result.,so the result was the result of the result.,2.8008732521115505
