sample_id,source_ar,reference_en,transformer_output,error_category,source_length,target_length
3250,في مناطق المجتمعات المتمدنة في هذه البلاد -- لوس انجلس ، فيلادلفيا ، بالتيمور ، واشنطن -- من ٥٠ الي ٦٠ بالمائة من الشباب من الاعراق الملونة في السجن او الحجز او تحت الافراج المشروط.,"in urban communities across this country -- los angeles, philadelphia, baltimore, washington -- 50 to 60 percent of all young men of color are in jail or prison or on probation or parole.","in the u.s.s.s.s., in the u.s.s.s.s.s.s.s.s.s.s.s.s.s.s.s.s.s.s.s.s.s.s.s.s.s.s., in the u.s.s.s.s.",repetition,35,33
6728,"حيث انها يمكن ان تكون حول اشخاص [""بنيامين فرانكلين"" تاليف والتر اسحاقسن][""جون ادمز"" تاليف ديفيد مكولوف] الذين يشتركون في نفس الحدث، او الاصدقاء ذوي الخبرات المشتركة","so they can be about people -- [""benjamin franklin"" by walter isaacson][""john adams"" by david mccullough] -- who are involved in the same event, or friends with shared experiences.",[the] [the] [the] [the]] [the]] [the]]] [the] [the]] [the]]] [the] [the]]] [the]]] [the]]] [the]] [the] [the]]]] [the] [the]] [the] [the]]],repetition,26,29
4143,خلايا الجلد التي لديكم في الحقيقة عديمة الفائدة بدون خلية قلب و خلية عضلية و خلية دماغية وهلم جرا.,"your skin cell is really useless without a heart cell, muscle cell, a brain cell and so on.",you have a cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell cell,repetition,19,18
4112,ولكن تلك القطرات من النفط لم تكن حيةً، كما نقول الان، لان كل قطرةٍ منها كانت خليطاً عشوائياً من المواد الكيميائية.,"but now those drops of oil weren't really alive, as we say it now, because every one of them was a little random recipe of chemicals.","but the gulf of the gulf of the gulf of the gulf of the gulf, the gulf of the gulf of the gulf of the gulf of the gulf of the gulf, the gulf of the gulf of the gulf of the gulf, the gulf of the gulf of the gulf of the gulf, the gulf of the gulf of the gulf, the gulf of the gulf of the gulf, the gulf of the",repetition,21,26
1910,واخيراً السبت : طور نمط ملابس خاص بك انها طريقة رائعة لكي تعبر عن نفسك لهذا العالم بدون ان تقول اي كلمة ..,"and finally, saturday: developing your own unique personal style is a really great way to tell the world something about you without having to say a word.","ca: it's a great way to do it's a word ""the way to do it's a word, and i'm going to do it's a great way to get yourself.""",repetition,23,27
4921,الاسفلت المسامي هو مادة مستخدمة حاليا في اغلب الطرق السريعة في هولندا و تحتوي علي مسامات يمكن لمياه المطر ان تتسرب خلالها و بالتالي ستتدفق كل مياه الامطار بعيدا الي الاطراف مما يمنحنا طريقاً يسهل القيادة عليه و بالتالي نتخلص من المياه المتناثرة,"porous asphalt, a material that we use now in most of the highways in the netherlands, it has pores and water can just rain through it, so all the rainwater will flow away to the sides, and you have a road that's easy to drive on, so no splash water anymore.","so the water is that the water supply chain of the water supply chain, and the water supply chain of the water supply of the water supply, and the water supply of the water supply of the water supply, and the water supply of the water can be able to get into the water supply chain of the water supply of the water supply.",repetition,43,51
849,"وقد حصلت فعلا علي شهادة غوص في مسبح في "" واي ام سي ايه "" في نهاية الخريف في بوفلو في نيويورك","and i actually got certified in a pool at a ymca in the dead of winter in buffalo, new york.","and i got a lot of the end of the streets in new york city in new york city, and i got in new york.",repetition,22,20
5237,"انا اعيش في نيويورك، وفي العام الماضي، من المراهقين 140,000 التي اوقفت وكينونة، 86 بالمئة منهم من السود واللاتينيين، ومعظمهم من الشبان.","i live in new york, and last year, of the 140,000 teenagers that were stopped and frisked, 86% of them were black and latino, and most of them were young men.","and in the last year, i'm a year, and in new york, and in the 190s, and in the 190s, and in the 190s, and in the 190s, and in the 190s, and in the 190s, and in the 190s, and in the 190s, and in the 190s,",repetition,22,31
6303,وبعد رؤية عدد قليل من هذه المباني- وهناك العديد منها في هذه المدينة- لقد ادركنا ان لديهم ثلاث نقاط كبيرة جداً.,after seeing a few of these buildings -- there are many in the city -- we realized that they have three very big points.,"and then they realized that these are very large, and there are three of these buildings.",adequate,21,24
3683,اذن لديك وضعية حيث لا يعرف الناس الماضي، بالرغم من اننا نعيش في مجتمعات متعلمة، لانهم لا يثقون في موارد الماضي.,"so you have a situation where people don't know the past, even though we live in literate societies, because they don't trust the sources of the past.","so you have a place where people don't know, because they don't know that we live in the last summer, because they don't know that we live in the last summer.",repetition,21,27
4091,لذا السؤال الذي احاول طرحه، الذي كنت اطرحه علي نفسي، هو ما هو هذا الاسلوب الجديد الذي عليه العالم؟,"and so what i'm trying to ask, what i've been asking myself, is what's this new way that the world is?","so what is the new question i'm trying to ask myself, what is, what is, what is this new world i'm trying to do?",repetition,19,21
1754,ما اعرفه هو انه يبدو من المهم حقاً لان نعتقد في فكرة كون الولايات المتحدة في صدارة التفكير في هذه المشكلة من الديمقراطية .,what i do know is that it seems to be really important to think about the idea of the united states being in the lead of thinking about this issue of democracy.,what we think is that it's really important to think about is that it's really important to think about democracy in the united states.,repetition,24,32
0,قبل عدة سنوات، هنا في تيد، قدّم بيتر سكيلمان منافسة تصميم تسمي منافسة حلوي المارش مالو.,"several years ago here at ted, peter skillman introduced a design challenge called the marshmallow challenge.","the adoption of us have been here, a few years ago, a lot of us have been a solution for a solution for a solution for a solution for a solution for a solution for a solution for a solution for a solution.",repetition,16,16
1,والفكرة غاية في البساطة. فريق مكوّن من اربعة يجب ان يبني اطول هيكل مستقيم من 20 قطعة من الماكرونة، وشريط بطول ياردة واحدة، وحبل بطول ياردة وحلوي المارش مالو.,"and the idea's pretty simple: teams of four have to build the tallest free-standing structure out of 20 sticks of spaghetti, one yard of tape, one yard of string and a marshmallow.","and one of the most famous bricker, one of the most famous bricker, one of the most famous bricker, one of the most famous bricker, the most famous bricker of the most famous bricker.",repetition,29,32
2,يجب ان تكون المارش مالو علي القمة.,the marshmallow has to be on top.,the top of the top of the top of the top.,repetition,7,7
3,ورغماً عن انها تبدو بسيطة للغاية، الا انها صعبة للغاية، لانها تجبر الناس علي التعاون بسرعة جداً.,"and, though it seems really simple, it's actually pretty hard because it forces people to collaborate very quickly.","it's very simple, because it's very simple, very simple, very simple.",repetition,17,18
4,لذا فقد فكرت بان هذه فكرة مثيرة، وقمت بتضمينها في ورشة عمل للتصميم.,"and so, i thought this was an interesting idea, and i incorporated it into a design workshop.",so i thought i was a creative idea that i was a creative idea of design.,repetition,13,17
6,ومنذ ذلك الحين، قمت بعقد حوالي 70 ورشة عمل للتصميم عبر العالم مع الطلاب والمصممين والمهندسين المعماريين، وحتي مع مدراء التقنية لاكبر خمسين شركة، وهي شئ متعلق بهذا التمرين الذي يكشف عن درس بالغ العمق حول طبيعة التعاون، وارغب في تقاسم بعض منها معكم.,"and since then, i've conducted about 70 design workshops across the world with students and designers and architects, even the ctos of the fortune 50, and there's something about this exercise that reveals very deep lessons about the nature of collaboration, and i'd like to share some of them with you.","and i did a lot of students, and i did this technology, and i did a lot of people who are working with you, and i did this technology, and i did a lot of the work with a lot of the work with a company, and i did this technology, and i did not have a lot of the work with you, and i did this technology, and i did a",repetition,44,51
7,اذاً، في العادة، يبدا معظم الناس بتوجيه انفسهم لهذه المهمة.,"so, normally, most people begin by orienting themselves to the task.","so most people start to get people, and they start to get to this task.",repetition,10,11
8,يتحدثون عنها، ويتعرفون علي كيف سيكون شكلها، ويتنافسون علي الفوز،,"they talk about it, they figure out what it's going to look like, they jockey for power.","and you know how they're going to be able to be able to hear, and they're going to be able to be able to hear about how they're going to be able to be able to be able to hear.",repetition,10,17
9,ثم يقضون بعض الوقت في التخطيط، والتنظيم. انهم يرسمون ويخططون المكرونة,"then they spend some time planning, organizing, they sketch and they lay out spaghetti.","and then they're going to spend time, and then they're going to keep the time.",repetition,11,14
11,"ثم اخيراً، ينفذ الوقت منهم، ياخذ شخص ما حلوي المارش مالو، ثم يضعها بحذر شديد علي القمة، ثم يتراجعون الي الوراء، و "" تاداا""! ويثمنون عملهم.","and then finally, just as they're running out of time, someone takes out the marshmallow, and then they gingerly put it on top, and then they stand back, and -- ta-da! -- they admire their work.","and then they're going to go back to the top, and then they're going to the top, and then they're going to go to the top, and then they're going to the top, and then they're going to go to the top, and then they're going to the top of them.",repetition,26,36
12,"لكن حقيقة ما يحدث، في معظم الاوقات، هو ان تلك ال ""تاداا"" تتحول الي "" او-هو،"" لان وزن حلوي المارش مالو تتسبب في التواء الهيكل وانهياره.","but what really happens, most of the time, is that the ""ta-da"" turns into an ""uh-oh,"" because the weight of the marshmallow causes the entire structure to buckle and to collapse.","but the fact is that most of the fact that most of the fact that most of the fact, the fact is that most of the fact that is that most of the fact, is the fact that is the fact that most of the fact that is the fact that most of the fact that is the fact that is the fact that most of the fact that is the fact that is the fact that is",repetition,26,31
13,"لذا فهناك عدد من الناس الذين لديهم لحظات ""او-هو"" اكثر من البقية، ومن بينهم الخريجيين الجُدد من كلية ادارة الاعمال.","so there are a number of people who have a lot more ""uh-oh"" moments than others, and among the worst are recent graduates of business school.","so there's a lot of people who have a lot of different kind of the people who have a lot of the best efforts, and they have a lot of the best efforts.",repetition,20,26
15,"وبالطبع هناك فرق التي لديها لحظات هياكل ""تاداا""، والافضل ضمنهم، هم الخريجون الجُدد من رياض الاطفال.","and of course there are teams that have a lot more ""ta-da"" structures, and among the best are recent graduates of kindergarten.","and of course, there are a mathematicians that are a mathematicians that are a mathematician, and of the wrong spot.",repetition,16,22
22,والسبب هو ان طلاب ادارة الاعمال متدربون علي ايجاد طريق واحد صحيح، حسناً.,"and the reason is that business students are trained to find the single right plan, right?","well, the reason is that the best example of the best job is that the students are right now.",repetition,13,16
